d760,Last Name
1,Åsmundottir
2,Æinrididottir
3,Æirikdottir
4,Ærinmundottir
5,Ærnmundottir
6,Æsbiorndottir
7,Æskildottir
8,Ævardottir
9,Øpirdottir
10,Øybiorndottir
11,Øystæindottir
12,Øystendottir
13,Abidottir
14,Adilsdottir
15,Agmundrdottir
16,Agnardottir
17,Akidottir
18,Aleifrdottir
19,Alfdottir
20,Alfarindottir
21,Alfgeirdottir
22,Alfketilldottir
23,Alidottir
24,Alrikdottir
25,Alvidottir
26,Amundidottir
27,Andottir
28,Anakoldottir
29,Andvettdottir
30,Anlafdottir
31,Anundottir
32,Arfastdottir
33,Aridottir
34,Arinbjorndottir
35,Armodottir
36,Arndottir
37,Arnbjorndottir
38,Arnfinndottir
39,Arngeirdottir
40,Arngrimdottir
41,Arnidottir
42,Arnkeldottir
43,Arnketilldottir
44,Arnlaugdottir
45,Arnljotdottir
46,Arnordottir
47,Arnsteindottir
48,Arnthordottir
49,Arnulfrdottir
50,Arnvidottir
51,Arondottir
52,Asbjorndottir
53,Asbrandottir
54,Asfrithdottir
55,Asgautdottir
56,Asgeirdottir
57,Asgrimdottir
58,Askeldottir
59,Asketilldottir
60,Aslakdottir
61,Asmundottir
62,Assurdottir
63,Asulfdottir
64,Asvaldottir
65,Asvardottir
66,Athilsdottir
67,Atlidottir
68,Atsurrdottir
69,Auðunardottir
70,Audbjorndottir
71,Audgisildottir
72,Audgislidottir
73,Audolfdottir
74,Audundottir
75,Austmathrdottir
76,Authgrimdottir
77,Authketilldottir
78,Authulfdottir
79,Authundottir
80,Autidottir
81,Balkidottir
82,Ballidottir
83,Bankidottir
84,Bardottir
85,Bardidottir
86,Baugdottir
87,Beigarthdottir
88,Beinerdottir
89,Beinirdottir
90,Bergdottir
91,Bergfinndottir
92,Bergthordottir
93,Bergvidottir
94,Bersidottir
95,Biordottir
96,Biorn dottir
97,Birningdottir
98,Bjalfidottir
99,Bjalkidottir
100,Bjarkidottir
101,Bjarnidottir
102,Bjartmardottir
103,Bjor dottir
104,Bjorgolfdottir
105,Bjorgulfdottir
106,Bjorndottir
107,Bjornulfdottir
108,Blængdottir
109,Blanndottir
110,Bodalfdottir
111,Bodvardottir
112,Boedottir
113,Bollidottir
114,Bolverkdottir
115,Borgardottir
116,Borkdottir
117,Borstigdottir
118,Bothvardottir
119,Botulfdottir
120,Bræsidottir
121,Bragidottir
122,Bramdottir
123,Brandottir
124,Bretakollrdottir
125,Brodd-Helgidottir
126,Broddidottir
127,Brodirdottir
128,Brondulfdottir
129,Brunidottir
130,Brusidottir
131,Buidottir
132,Byrnjolfdottir
133,Cnutdottir
134,Dagdottir
135,Dagfinndottir
136,Dandottir
137,Diarfdottir
138,Dunfjalldottir
139,Dyridottir
140,Edgardottir
141,Egildottir
142,Eidottir
143,Eilifdottir
144,Einardottir
145,Eindrididottir
146,Eirikdottir
147,Eldgrimdottir
148,Elgfrothidottir
149,Englidottir
150,Erlendottir
151,Erlingdottir
152,Ernmundottir
153,Erpdottir
154,Eskildottir
155,Eydisdottir
156,Eyjolfdottir
157,Eysteindottir
158,Eyvaldottir
159,Eyvindottir
160,Fargrimdottir
161,Farmanndottir
162,Farthegndottir
163,Fastulfdottir
164,Finndottir
165,Finnleikdottir
166,Finnvidottir
167,Firthgestdottir
168,Flokidottir
169,Flosidottir
170,Folkbiorndottir
171,Folkmardottir
172,Fornidottir
173,Frømundottir
174,Freysteindottir
175,Fridgeirdottir
176,Fridmundottir
